Namespace(arch='resnet18', base_width=64, batch_size=128, data_root='../DATASETS/SVHN', dataset='SVHN', epochs=100, evaluate=False, loss='ce', lr=0.1, lr_gamma=0.1, lr_milestones=[40, 80], lr_schedule='cosine', momentum=0.9, noise_info=None, noise_rate=0.4, noise_type='Gaussian', optimizer='sgd', print_freq=50, result_dir='results/SVHN/resnet18_ce_Gaussian_r0.4_cosine_', resume='', sat_alpha=0.9, sat_es=0, save_dir='ckpts/SVHN/resnet18_ce_Gaussian_r0.4_cosine_', save_freq=0, seed=3058, start_epoch=0, train_sets='trainval', turn_off_aug=False, use_refined_label=False, val_sets=['test_set'], weight_decay=0.0005, workers=4)
Using downloaded and verified file: ../DATASETS/SVHN/train_32x32.mat
data shape: (73257, 3, 32, 32)
Using downloaded and verified file: ../DATASETS/SVHN/test_32x32.mat
data shape: (26032, 3, 32, 32)
Randomizing 40.0 percent of images with `Gaussian` scheme.
n_train:73257  n_rand:29302 randomize_indices:[12947 16516 51836 ... 44638 70684 35023]
randomize_iamges: (29302, 32, 32, 3)
randomize_iamges: (29302, 3, 32, 32)
Noise info is saved to ckpts/SVHN/resnet18_ce_Gaussian_r0.4_cosine_
Size of dataset: 73257.
Using `SGD` optimizer
Using `cosine` schedule
****************************************
/opt/conda/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
/opt/conda/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:156: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Epoch: [0][50/573]	LR 0.100000	Time 0.088 (0.150)	Data 0.000 (0.027)	Loss 2.3176 (2.8017)	Prec@1 19.531 (15.250)
Epoch: [0][100/573]	LR 0.100000	Time 0.089 (0.119)	Data 0.001 (0.013)	Loss 2.1777 (2.5224)	Prec@1 22.656 (17.047)
Epoch: [0][150/573]	LR 0.100000	Time 0.089 (0.109)	Data 0.000 (0.009)	Loss 2.2601 (2.4285)	Prec@1 17.969 (17.927)
Epoch: [0][200/573]	LR 0.100000	Time 0.089 (0.104)	Data 0.000 (0.007)	Loss 2.2807 (2.3802)	Prec@1 14.844 (18.270)
Epoch: [0][250/573]	LR 0.100000	Time 0.088 (0.101)	Data 0.000 (0.005)	Loss 2.2784 (2.3525)	Prec@1 15.625 (18.281)
Epoch: [0][300/573]	LR 0.100000	Time 0.088 (0.099)	Data 0.000 (0.005)	Loss 2.1900 (2.3336)	Prec@1 25.781 (18.398)
Epoch: [0][350/573]	LR 0.100000	Time 0.088 (0.097)	Data 0.000 (0.004)	Loss 2.2058 (2.3190)	Prec@1 16.406 (18.623)
Epoch: [0][400/573]	LR 0.100000	Time 0.089 (0.096)	Data 0.000 (0.004)	Loss 2.2091 (2.3084)	Prec@1 21.094 (18.771)
Epoch: [0][450/573]	LR 0.100000	Time 0.088 (0.095)	Data 0.000 (0.003)	Loss 2.2210 (2.3013)	Prec@1 17.969 (18.688)
Epoch: [0][500/573]	LR 0.100000	Time 0.088 (0.095)	Data 0.000 (0.003)	Loss 2.1859 (2.2951)	Prec@1 26.562 (18.633)
Epoch: [0][550/573]	LR 0.100000	Time 0.089 (0.094)	Data 0.000 (0.003)	Loss 2.1392 (2.2900)	Prec@1 20.312 (18.621)
Epoch: [0][573/573]	LR 0.100000	Time 0.517 (0.095)	Data 0.000 (0.003)	Loss 2.1641 (2.2879)	Prec@1 19.512 (18.629)
****************************************
test_set:	 * Prec@1 19.653
****************************************
Epoch: [1][50/573]	LR 0.099975	Time 0.088 (0.097)	Data 0.000 (0.008)	Loss 2.2049 (2.2371)	Prec@1 22.656 (19.047)
Epoch: [1][100/573]	LR 0.099975	Time 0.088 (0.093)	Data 0.000 (0.004)	Loss 2.2123 (2.2348)	Prec@1 19.531 (19.148)
Epoch: [1][150/573]	LR 0.099975	Time 0.088 (0.092)	Data 0.000 (0.003)	Loss 2.1934 (2.2360)	Prec@1 21.094 (19.052)
